Location,Timestamp,mq135_raw,soil_moisture,soil_temperature,speed,light_intensity_lux,sound_level,rain_detected,estimated_ppm,temperature,humidity,pressure,altitude,uv_index
19.0890_72.8690,1752068907.5914493,472,0.0,28.4,0.5,720,0,0,320,26.7,73.0,1013.25,14.3,11.0
19.0890_72.8690,1752068913.9399455,468,0.0,28.4,0.5,720,0,0,320,26.7,74.0,1013.25,14.3,0.0
19.0890_72.8690,1752068920.420088,477,0.0,28.4,0.5,720,0,0,320,26.7,74.0,1013.25,14.3,0.0
19.0890_72.8690,1752068926.5852652,471,0.0,28.4,0.5,720,0,0,320,26.7,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752068933.006624,474,0.0,28.4,0.5,720,0,0,320,26.7,74.0,1013.25,14.3,15.0
19.0890_72.8690,1752068939.3207846,469,0.0,28.4,0.5,720,0,0,320,26.7,74.0,1013.25,14.3,0.0
19.0890_72.8690,1752068945.9271278,479,0.0,28.4,0.5,720,0,0,320,26.7,74.0,1013.25,14.3,5.0
19.0890_72.8690,1752068952.9895988,465,0.0,28.4,0.5,720,0,0,320,26.7,74.0,1013.25,14.3,0.0
19.0890_72.8690,1752068959.121055,467,0.0,28.4,0.5,720,0,0,320,26.7,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752068965.3053782,464,0.0,28.4,0.5,720,0,0,320,26.7,73.0,1013.25,14.3,8.0
19.0890_72.8690,1752068971.8556342,467,0.0,28.4,0.5,720,0,0,320,26.7,74.0,1013.25,14.3,5.0
19.0890_72.8690,1752068978.1828067,471,0.0,28.4,0.5,720,0,0,320,26.7,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752068985.0946667,464,0.0,28.4,0.5,720,0,0,320,26.7,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069007.235081,463,0.0,28.4,0.5,720,0,0,320,26.7,74.0,1013.25,14.3,0.0
19.0890_72.8690,1752069013.6893127,470,0.0,28.4,0.5,720,0,0,320,26.7,74.0,1013.25,14.3,15.0
19.0890_72.8690,1752069020.1441731,469,0.0,28.4,0.5,720,0,0,320,26.7,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069026.350085,454,0.0,28.4,0.5,720,0,0,320,26.7,74.0,1013.25,14.3,0.0
19.0890_72.8690,1752069032.5150492,464,0.0,28.4,0.5,720,0,0,320,26.7,74.0,1013.25,14.3,0.0
19.0890_72.8690,1752069039.0489657,464,0.0,28.4,0.5,720,0,0,320,26.8,73.0,1013.25,14.3,0.0
